Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/15/2025,10/16/2025,Kindle Unltd*NM3I24511,Shopping,Sale,-13.23,
10/13/2025,10/14/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
10/13/2025,10/13/2025,Payment Thank You-Mobile,,Payment,325.68,
10/11/2025,10/13/2025,SHELL OIL 57444032007,Gas,Sale,-14.91,
10/08/2025,10/10/2025,SDOT PAYBYPHONE PARKING,Travel,Sale,-5.50,
10/08/2025,10/10/2025,SDOT PAYBYPHONE PARKING,Travel,Sale,-2.75,
10/06/2025,10/07/2025,COSTCO WHSE #0001,Shopping,Sale,-59.02,
10/04/2025,10/06/2025,7-ELEVEN 22261,Gas,Sale,-6.09,
10/04/2025,10/06/2025,TACO BELL 031333,Food & Drink,Sale,-11.62,
10/04/2025,10/05/2025,CIRCLE K # 09660,Gas,Sale,-30.17,
10/04/2025,10/05/2025,HILLTOP RED APPLE M,Groceries,Sale,-11.08,
10/04/2025,10/05/2025,BIG 5 SPORTING GOODS 338,Shopping,Sale,-12.52,
10/04/2025,10/05/2025,LEMONADE INSURANCE,Bills & Utilities,Sale,-16.00,
10/02/2025,10/03/2025,Amazon web services,Bills & Utilities,Sale,-0.86,
10/01/2025,10/02/2025,QFC 5874,Health & Wellness,Sale,-40.97,
10/01/2025,10/02/2025,FSP*SEATTLE BOULDERING PR,Health & Wellness,Sale,-115.87,
09/30/2025,09/30/2025,Payment Thank You-Mobile,,Payment,1477.71,
09/29/2025,09/30/2025,Spotify USA,Bills & Utilities,Sale,-13.23,
09/27/2025,09/29/2025,SWANSONS #3,Groceries,Sale,-26.84,
09/28/2025,09/29/2025,KNOTTY PINE LLC,Food & Drink,Sale,-123.73,
09/26/2025,09/28/2025,COSTCO WHSE #0001,Shopping,Sale,-21.96,
09/26/2025,09/28/2025,COSTCO WHSE #0001,Shopping,Sale,-7.15,
09/25/2025,09/28/2025,SDOT PAYBYPHONE PARKING,Travel,Sale,-2.00,
09/27/2025,09/28/2025,TST*OAK - SEATTLE,Food & Drink,Sale,-63.52,
09/26/2025,09/28/2025,SHELL OIL 57444032007,Gas,Sale,-2.64,
09/26/2025,09/28/2025,76 - SUNNY MONY &amp; RAJA,Gas,Sale,-9.62,
09/24/2025,09/26/2025,WWW.MAKOSPEARGUNS.COM,Shopping,Sale,-247.95,
09/25/2025,09/26/2025,APPLE.COM/BILL,Shopping,Return,8.52,
09/24/2025,09/25/2025,HILLTOP RED APPLE M,Groceries,Sale,-13.61,
09/24/2025,09/25/2025,APPLE.COM/BILL,Shopping,Sale,-8.82,
09/22/2025,09/23/2025,COSTCO GAS #0017,Gas,Sale,-37.26,
09/23/2025,09/23/2025,Frontier Airlines,Travel,Sale,-20.00,
09/22/2025,09/23/2025,FRONTIER AI JM57QE,Travel,Sale,-153.94,
09/20/2025,09/22/2025,DUTCH BROS OR2706 BEND,Food & Drink,Sale,-7.90,
09/19/2025,09/21/2025,NETFLIX.COM,Bills & Utilities,Sale,-8.82,
09/18/2025,09/19/2025,CLOUDFLARE,Shopping,Sale,-11.54,
